序号,名称,推荐别名,规划日期,省份,城市,区县,经度,纬度,海拔(米),详细地址,地点介绍
11,"加达村(西藏芒康县盐井乡)","盐井乡加达村红盐田","2026-06-08","西藏自治区","昌都市","芒康县",98.591000,29.041200,2320,"西藏自治区昌都市芒康县盐井纳西民族乡加达村","澜沧江峡谷西岸纯红盐古盐田村落，自驾打卡核心"
12,"飞来寺风景区观景台","飞来寺观景台（正对梅里雪山）","2026-06-08","云南省","迪庆藏族自治州","德钦县",98.878800,28.441000,3420,"云南省迪庆州德钦县升平镇G214旁","直面梅里雪山十三峰与卡瓦格博峰日照金山经典圣地"
13,"飞来寺","德钦飞来寺古刹","2026-06-08","云南省","迪庆藏族自治州","德钦县",98.879500,28.439500,3400,"云南省迪庆州德钦县升平镇飞来寺村","建于明代的藏传佛教古刹，06.08住宿打卡地"
14,"白马雪山垭口","G214白马雪山老垭口观景台","2026-06-09","云南省","迪庆藏族自治州","德钦县",99.033500,28.324500,4292,"云南省迪庆州德钦县G214老线白马雪山垭口","海拔4292米，滇藏公路最高点壮阔雪山垭口"
15,"奔子栏","奔子栏镇（茶马古道金沙江重镇）","2026-06-09","云南省","迪庆藏族自治州","德钦县",99.309200,28.243500,2050,"云南省迪庆州德钦县奔子栏镇","金沙江河谷要塞，茶马古道咽喉重镇"
16,"纳帕海","纳帕海国家湿地公园 / 依拉草原","2026-06-09","云南省","迪庆藏族自治州","香格里拉市",99.645000,27.876000,3270,"云南省迪庆州香格里拉市建塘镇纳帕海","香格里拉高原湿地水上公路与草原牧场"
17,"香格里拉独克宗古城","独克宗月光城（龟山大转经筒）","2026-06-09","云南省","迪庆藏族自治州","香格里拉市",99.704200,27.813800,3280,"云南省迪庆州香格里拉市金龙街","茶马古道重镇，06.09住宿及夜景核心"
18,"松赞林景区","噶丹·松赞林寺","2026-06-10","云南省","迪庆藏族自治州","香格里拉市",99.704500,27.863500,3380,"云南省迪庆州香格里拉市建塘镇尼旺路","云南最大藏传佛教寺院，享有“归化寺/小布达拉宫”美誉"
19,"虎跳峡镇","香格里拉市虎跳峡镇","2026-06-10","云南省","迪庆藏族自治州","香格里拉市",100.076800,27.185200,1850,"云南省迪庆州香格里拉市虎跳峡镇人民政府驻地","进入虎跳峡峡谷前哨镇，06.10住宿地"
20,"香格里拉虎跳峡景区","虎跳峡风景名胜区（上虎跳/中虎跳）","2026-06-11","云南省","迪庆藏族自治州","香格里拉市",100.125000,27.182000,1800,"云南省迪庆州香格里拉市虎跳峡镇东侧金沙江大峡谷","世界上最深、最壮观的大峡谷之一，惊涛拍岸"
21,"哈巴雪山观景台","虎香公路哈巴雪山观景台","2026-06-11","云南省","迪庆藏族自治州","香格里拉市",100.173000,27.289000,2750,"云南省迪庆州香格里拉市东环线/虎香公路","遥望哈巴雪山峰群与高山草甸的最佳全景观赏点"
22,"白沙古镇","白沙古镇风景区","2026-06-11","云南省","丽江市","玉龙纳西族自治县",100.218500,26.956500,2450,"云南省丽江市玉龙县白沙镇","纳西族最早的聚居地，最原生态慢节奏古镇，06.11住宿地"
23,"玉湖村","玉龙雪山第一村 / 洛克故居","2026-06-12","云南省","丽江市","玉龙纳西族自治县",100.221500,27.028500,2700,"云南省丽江市玉龙县白沙镇玉湖村","玉龙雪山南麓石头村落，约瑟夫·洛克故居所在地"
24,"沙溪古镇","沙溪古镇（寺登街、玉津桥）","2026-06-12","云南省","大理白族自治州","剑川县",99.851200,26.319500,2100,"云南省大理州剑川县沙溪镇寺登街","茶马古道上唯一幸存的古集市，黑惠江与玉津桥绝美风光"
25,"洱海生态廊道","大理洱海生态廊道（才村/阳南溪段）","2026-06-12","云南省","大理白族自治州","大理市",100.187500,25.726500,1972,"云南省大理州大理市洱海西岸","苍山洱海骑行与漫步核心走廊"
26,"大理古城","大理古城南门 / 复兴路","2026-06-12","云南省","大理白族自治州","大理市",100.165000,25.696500,1980,"云南省大理州大理市大理镇一塔路","风花雪月大理核心古城，06.12住宿地"
27,"大理北门菜市场","大理古城北门农贸市场","2026-06-13","云南省","大理白族自治州","大理市",100.165800,25.706200,1985,"云南省大理州大理市大理古城北门街","烟火气最浓的大理本地农贸早市与特色小吃聚集地"
28,"云南省博物馆","云南省博物馆新馆","2026-06-13","云南省","昆明市","官渡区",102.753800,24.952500,1890,"云南省昆明市官渡区广福路6393号","云南历史文化殿堂，古滇国青铜重器与南诏大理国瑰宝"
29,"昆明万象城","华润昆明万象城","2026-06-13","云南省","昆明市","官渡区",102.730500,25.034500,1890,"云南省昆明市官渡区环城南路与东郊路交叉口","返程前市区补给购物与餐饮中心"
30,"昆明长水国际机场T1航站楼","昆明长水国际机场（出发层）","2026-06-13","云南省","昆明市","官渡区",102.935000,25.105500,2102,"云南省昆明市官渡区长水国际机场T1航站楼","川滇大环线自驾圆满收官/返程航班出发点"
